===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2022-01-24 07:00:00,1835.17,1835.595,1833.2,1833.43,0.0,-1.0,MyStrategy,1,738179.2916666666,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2022-01-24 07:01:00,1833.43,1833.43,1832.425,1832.53,0.0,-1.0,MyStrategy,2,738179.2923611111,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2022-01-24 07:02:00,1832.53,1832.56,1831.805,1832.005,0.0,-1.0,MyStrategy,3,738179.2930555556,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2022-01-24 07:03:00,1832.005,1833.225,1832.005,1833.205,0.0,-1.0,MyStrategy,4,738179.29375,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2022-01-24 07:04:00,1833.205,1833.335,1832.77,1833.045,0.0,-1.0,MyStrategy,5,738179.2944444445,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2022-01-24 07:05:00,1833.045,1833.68,1832.98,1833.68,0.0,-1.0,MyStrategy,6,738179.2951388889,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2022-01-24 07:06:00,1833.68,1834.065,1833.665,1833.965,0.0,-1.0,MyStrategy,7,738179.2958333333,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2022-01-24 07:07:00,1833.965,1833.98,1833.735,1833.795,0.0,-1.0,MyStrategy,8,738179.2965277778,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2022-01-24 07:08:00,1833.795,1833.9,1833.75,1833.89,0.0,-1.0,MyStrategy,9,738179.2972222222,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2022-01-24 07:09:00,1833.89,1833.895,1833.62,1833.855,0.0,-1.0,MyStrategy,10,738179.2979166667,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2022-01-24 07:10:00,1833.855,1834.32,1833.755,1834.145,0.0,-1.0,MyStrategy,11,738179.2986111111,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2022-01-24 07:11:00,1834.145,1834.25,1833.875,1833.97,0.0,-1.0,MyStrategy,12,738179.2993055555,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2022-01-24 07:12:00,1833.97,1834.005,1833.715,1833.815,0.0,-1.0,MyStrategy,13,738179.3,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2022-01-24 07:13:00,1833.815,1834.425,1833.815,1834.0,0.0,-1.0,MyStrategy,14,738179.3006944444,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2022-01-24 07:14:00,1834.0,1834.38,1833.84,1834.34,0.0,-1.0,MyStrategy,15,738179.3013888889,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2022-01-24 07:15:00,1834.34,1834.39,1834.025,1834.275,0.0,-1.0,MyStrategy,16,738179.3020833334,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
